pressure,altitude,temperature,humidity
1010.0,46.0,24.2,44.0
1010.0,46.0,19.0,68.2
1013.0,46.0,15.6,93.8
1013.0,46.0,17.0,89.7
998.0,46.0,24.4,94.7
1009.0,46.0,25.0,79.5
1007.0,46.0,19.0,96.3
993.0,46.0,27.0,88.8
1009.0,46.0,24.0,96.5
1005.0,46.0,25.2,97.6
1002.0,46.0,24.6,94.7
1002.0,46.0,26.0,95.4
1002.0,46.0,25.8,96.5
993.0,46.0,25.0,94.8
1010.0,46.0,18.0,85.9
1007.0,46.0,26.6,50.9
1010.0,46.0,19.4,95.1
1011.0,46.0,17.0,63.4
1000.0,46.0,28.0,87.9
1006.0,46.0,15.6,88.5
997.0,46.0,25.0,90.8
998.0,46.0,26.8,75.0
996.0,46.0,29.2,79.1
997.0,46.0,24.0,95.3
1010.0,46.0,23.2,46.8
991.0,46.0,26.0,93.7
1011.0,46.0,13.4,89.4
1007.0,46.0,17.0,72.9
1006.0,46.0,24.2,38.5
995.0,46.0,26.4,92.0
1001.0,46.0,32.0,49.1
1013.0,46.0,20.0,72.9
1010.0,46.0,19.2,92.2
1007.0,46.0,27.0,32.2
1012.0,46.0,17.6,79.9
1009.0,46.0,17.4,72.9
1001.0,46.0,26.2,82.6
1002.0,46.0,26.4,88.8
1012.0,46.0,17.8,2.9
1001.0,46.0,26.4,89.9
999.0,46.0,27.0,87.3
995.0,46.0,24.0,94.7
996.0,46.0,26.0,94.2
996.0,46.0,26.0,92.0
998.0,46.0,25.0,94.8
1011.0,46.0,17.6,88.1
1001.0,46.0,26.8,93.7
996.0,46.0,26.8,95.4
996.0,46.0,26.0,90.4
995.0,46.0,24.8,96.5
995.0,46.0,27.4,93.2
1000.0,49.0,32.0,49.1
1000.0,49.0,26.6,94.3
1000.0,49.0,30.2,48.7
1000.0,52.0,24.8,94.8
1000.0,52.0,28.4,77.6
1000.0,52.0,26.0,84.6
1000.0,52.0,26.4,89.9
1000.0,55.0,26.4,90.4
1000.0,55.0,30.6,58.7
1000.0,55.0,25.4,97.1
1000.0,55.0,31.4,55.4
1000.0,55.0,31.6,49.0
1000.0,55.0,29.2,75.9
1000.0,55.0,26.2,81.1
1000.0,55.0,30.2,62.3
1000.0,58.0,26.0,95.9
1000.0,58.0,29.6,83.0
1000.0,58.0,26.6,93.7
1000.0,58.0,24.8,87.1
1000.0,58.0,30.8,62.5
1000.0,58.0,30.0,62.3
1000.0,58.0,32.8,62.9
1000.0,61.0,26.0,90.9
1000.0,61.0,25.6,95.3
1000.0,61.0,24.4,89.2
1000.0,61.0,28.8,65.9
1000.0,61.0,27.2,81.2
1000.0,64.0,25.6,90.3
1000.0,64.0,24.6,84.9
1000.0,64.0,25.6,94.2
1000.0,64.0,20.0,87.7
1000.0,64.0,30.4,93.9
1000.0,64.0,25.0,69.4
1000.0,64.0,27.2,95.4
1000.0,67.0,25.2,98.2
1000.0,67.0,29.4,70.2
1000.0,67.0,26.0,65.4
1000.0,67.0,29.2,74.5
1000.0,70.0,30.0,48.6
1000.0,70.0,23.4,88.0
1000.0,70.0,23.2,83.8
1000.0,73.0,26.0,93.7
1000.0,73.0,26.2,82.6
1000.0,73.0,25.6,94.2
1000.0,73.0,29.8,62.2
1000.0,76.0,21.2,92.3
1000.0,76.0,27.4,61.7
1000.0,79.0,23.6,91.9
1000.0,79.0,25.2,93.6
1000.0,82.0,25.0,96.5
1000.0,82.0,31.8,40.7
1000.0,82.0,25.4,89.8
1000.0,85.0,24.0,91.3
1000.0,85.0,30.4,55.2
1000.0,85.0,21.6,91.2
1000.0,85.0,28.4,82.8
1000.0,85.0,25.0,88.1
1000.0,88.0,20.4,95.2
1000.0,88.0,25.2,69.4
1000.0,88.0,25.2,47.3
1000.0,88.0,19.6,91.6
1000.0,88.0,29.8,55.0
1000.0,91.0,23.8,75.5
1000.0,91.0,24.0,78.4
1000.0,91.0,25.2,90.3
1000.0,91.0,18.4,92.1
1000.0,91.0,28.0,74.3
1000.0,91.0,24.8,80.9
1000.0,94.0,27.8,54.5
1000.0,94.0,22.4,93.5
1000.0,94.0,26.8,39.3
1000.0,94.0,25.4,61.2
1000.0,94.0,25.0,53.8
1000.0,94.0,26.2,76.8
1000.0,98.0,27.2,74.2
1000.0,98.0,23.4,41.0
1000.0,98.0,23.4,38.3
1000.0,98.0,26.6,65.5
1000.0,98.0,15.4,87.3
1000.0,98.0,21.6,49.5
1000.0,98.0,28.4,51.3
1000.0,98.0,22.2,53.1
1000.0,98.0,26.0,65.4
1000.0,98.0,21.6,84.6
1000.0,101.0,26.0,47.5
1000.0,101.0,25.0,33.9
1000.0,101.0,27.8,37.0
1000.0,101.0,28.0,54.6
1000.0,101.0,19.0,82.7
1000.0,104.0,19.4,88.2
1000.0,104.0,27.4,39.4
1000.0,104.0,20.2,89.4
1000.0,104.0,25.2,93.6
1000.0,104.0,23.6,95.9
1000.0,104.0,26.2,61.4
1000.0,104.0,23.2,93.5
1000.0,104.0,16.8,80.9
1000.0,104.0,25.6,41.6
1000.0,104.0,20.0,89.9
1000.0,104.0,26.0,83.6
1000.0,107.0,17.0,88.0
1000.0,107.0,23.8,74.1
1000.0,107.0,23.0,64.7
1000.0,107.0,24.6,50.3
1000.0,107.0,14.4,87.2
1000.0,107.0,26.0,47.5
1000.0,107.0,17.0,72.4
1000.0,107.0,22.4,46.6
1000.0,107.0,23.0,43.7
1000.0,107.0,19.0,94.5
1000.0,107.0,24.0,90.2
1000.0,110.0,27.2,47.9
1000.0,110.0,13.8,87.1
1000.0,110.0,22.4,84.2
1000.0,110.0,17.2,82.5
1000.0,110.0,26.0,34.2
1000.0,110.0,23.6,31.2
1000.0,110.0,22.6,94.7
1000.0,110.0,26.2,32.0
1000.0,110.0,22.8,56.8
1000.0,110.0,23.4,43.8
1000.0,110.0,15.8,79.7
1000.0,113.0,24.4,38.6
1000.0,113.0,14.8,62.9
1000.0,113.0,25.8,50.7
1000.0,113.0,18.0,86.4
1000.0,113.0,25.0,69.4
1000.0,116.0,17.6,80.5
1000.0,116.0,22.8,46.7
1000.0,116.0,25.2,57.4
1000.0,116.0,27.0,54.3
1000.0,119.0,15.0,87.3
1000.0,119.0,24.2,50.2
1000.0,119.0,24.8,47.2
1000.0,119.0,23.2,46.8
1000.0,119.0,13.2,80.4
1000.0,119.0,16.8,80.9
1000.0,119.0,18.0,63.6
1000.0,122.0,15.6,21.4
1000.0,122.0,19.8,86.6
1000.0,122.0,23.0,60.7
1000.0,122.0,24.6,44.2
1000.0,122.0,23.0,43.7
1000.0,122.0,27.4,54.4
1000.0,122.0,14.8,74.4
1000.0,125.0,25.4,57.5
1000.0,125.0,19.0,92.8
1000.0,125.0,25.8,47.5
1000.0,125.0,20.2,73.0
1000.0,125.0,26.6,54.2
1000.0,125.0,20.0,84.5
1000.0,125.0,25.0,50.5
1000.0,125.0,25.8,50.7
1000.0,125.0,25.2,47.3
1000.0,125.0,24.2,77.4
1000.0,125.0,27.0,57.9
1000.0,128.0,19.2,17.8
1000.0,128.0,25.8,65.3
1000.0,128.0,17.6,83.1
1000.0,128.0,21.2,91.2
1000.0,131.0,18.0,79.0
1000.0,131.0,22.2,46.5
1000.0,131.0,23.8,50.1
1000.0,131.0,18.6,63.7
1000.0,131.0,16.4,82.4
1000.0,134.0,23.0,29.0
1000.0,134.0,15.8,89.1
1000.0,134.0,22.6,40.8
1000.0,134.0,14.2,85.5
1000.0,134.0,15.6,74.6
1000.0,134.0,15.8,86.8
1000.0,134.0,19.8,83.4
1000.0,137.0,21.4,73.2
1000.0,137.0,22.6,38.1
1000.0,137.0,18.2,59.6
1000.0,137.0,25.8,54.0
1000.0,140.0,26.4,41.8
1000.0,140.0,16.6,59.2
1000.0,140.0,26.8,54.3
1000.0,140.0,15.6,58.9
1000.0,140.0,24.8,47.2
1000.0,140.0,24.0,50.2
1000.0,140.0,18.8,72.7
1000.0,143.0,19.2,84.4
1000.0,143.0,24.4,47.1
1000.0,146.0,26.0,47.5
1000.0,146.0,17.6,75.4
1000.0,149.0,25.4,34.0
1000.0,149.0,24.4,44.1
1000.0,149.0,16.0,93.2
1000.0,149.0,18.2,68.0
1000.0,155.0,18.0,63.6
1000.0,155.0,15.2,88.4
1000.0,155.0,18.8,78.1
1000.0,155.0,16.0,90.2
1000.0,158.0,18.8,86.5
1000.0,158.0,19.0,92.2
1000.0,162.0,20.0,72.9
1000.0,189.0,25.8,61.3
850.0,1353.0,14.0,87.2
850.0,1381.0,21.8,74.7
850.0,1387.0,18.0,83.7
850.0,1390.0,19.8,90.5
850.0,1393.0,20.6,93.4
850.0,1393.0,18.6,81.1
850.0,1396.0,18.0,84.8
850.0,1396.0,19.6,86.0
850.0,1396.0,20.2,85.0
850.0,1405.0,19.2,100.0
850.0,1405.0,19.2,86.0
850.0,1408.0,19.2,87.1
850.0,1408.0,19.2,55.9
850.0,1408.0,22.6,77.2
850.0,1411.0,18.0,87.0
850.0,1411.0,20.8,90.0
850.0,1414.0,20.2,82.4
850.0,1414.0,19.6,77.7
850.0,1414.0,20.2,73.0
850.0,1420.0,20.0,64.1
850.0,1420.0,17.8,78.4
850.0,1420.0,17.4,96.9
850.0,1420.0,19.6,68.3
850.0,1420.0,22.8,81.2
850.0,1420.0,20.6,76.9
850.0,1423.0,21.6,73.2
850.0,1423.0,20.2,82.4
850.0,1423.0,18.4,81.1
850.0,1426.0,18.6,83.8
850.0,1426.0,17.0,79.3
850.0,1426.0,18.4,83.2
850.0,1426.0,19.0,97.5
850.0,1426.0,16.6,86.3
850.0,1426.0,17.0,74.3
850.0,1430.0,20.0,100.0
850.0,1430.0,19.2,99.4
850.0,1430.0,20.0,100.0
850.0,1430.0,27.4,76.5
850.0,1430.0,15.0,73.0
850.0,1430.0,24.8,44.2
850.0,1430.0,18.4,82.1
850.0,1430.0,19.4,72.8
850.0,1433.0,18.2,82.1
850.0,1433.0,20.0,77.3
850.0,1433.0,20.0,76.8
850.0,1433.0,19.6,68.3
850.0,1433.0,20.2,87.2
850.0,1433.0,17.6,79.9
850.0,1433.0,20.4,64.1
850.0,1433.0,20.0,73.9
850.0,1436.0,17.2,72.4
850.0,1436.0,23.4,73.5
850.0,1439.0,19.2,72.8
850.0,1439.0,19.0,78.6
850.0,1439.0,19.2,87.1
850.0,1439.0,18.0,82.6
850.0,1439.0,17.6,89.8
850.0,1439.0,18.0,59.5
850.0,1442.0,18.0,48.6
850.0,1442.0,17.6,75.9
850.0,1442.0,18.2,76.0
850.0,1442.0,20.0,76.3
850.0,1445.0,19.8,83.9
850.0,1448.0,19.6,77.2
850.0,1448.0,20.8,78.9
850.0,1448.0,19.2,72.8
850.0,1448.0,16.8,89.1
850.0,1451.0,21.4,73.2
850.0,1451.0,18.2,68.0
850.0,1451.0,20.0,80.3
850.0,1451.0,19.2,81.7
850.0,1451.0,19.0,74.2
850.0,1451.0,21.0,68.6
850.0,1451.0,19.0,68.2
850.0,1451.0,18.0,81.6
850.0,1454.0,18.8,74.6
850.0,1454.0,18.4,80.6
850.0,1454.0,20.0,85.5
850.0,1454.0,18.2,86.4
850.0,1457.0,18.6,82.2
850.0,1457.0,22.8,64.7
850.0,1460.0,21.0,76.0
850.0,1460.0,20.0,68.4
850.0,1460.0,19.2,72.8
850.0,1460.0,20.0,34.8
850.0,1460.0,19.8,94.0
850.0,1463.0,17.6,73.5
850.0,1463.0,18.6,68.1
850.0,1466.0,26.6,39.2
850.0,1466.0,18.4,80.6
850.0,1466.0,19.4,72.8
850.0,1466.0,17.8,89.8
850.0,1469.0,19.2,52.3
850.0,1469.0,19.4,56.0
850.0,1469.0,22.2,20.0
850.0,1469.0,19.6,79.2
850.0,1472.0,17.8,45.3
850.0,1472.0,21.6,68.7
850.0,1472.0,26.2,47.6
850.0,1475.0,21.0,75.5
850.0,1475.0,20.0,52.5
850.0,1475.0,19.0,72.8
850.0,1475.0,15.2,77.0
850.0,1475.0,21.0,73.6
850.0,1475.0,17.6,83.6
850.0,1475.0,18.4,48.7
850.0,1478.0,20.0,74.3
850.0,1478.0,11.6,46.7
850.0,1478.0,21.2,21.3
850.0,1478.0,16.2,48.1
850.0,1478.0,18.8,83.8
850.0,1478.0,20.0,32.4
850.0,1478.0,20.0,77.8
850.0,1481.0,24.0,22.0
850.0,1481.0,15.2,87.8
850.0,1481.0,19.6,83.3
850.0,1481.0,10.6,46.5
850.0,1481.0,22.8,64.7
850.0,1484.0,13.0,26.1
850.0,1484.0,21.0,49.4
850.0,1484.0,16.2,31.3
850.0,1484.0,24.0,47.0
850.0,1484.0,25.8,74.4
850.0,1484.0,20.0,77.8
850.0,1484.0,18.8,74.6
850.0,1484.0,10.0,57.5
850.0,1484.0,22.8,35.6
850.0,1487.0,22.8,33.2
850.0,1487.0,16.0,75.1
850.0,1487.0,18.6,52.2
850.0,1487.0,28.8,30.6
850.0,1487.0,16.6,55.3
850.0,1487.0,20.6,79.9
850.0,1487.0,21.0,52.8
850.0,1487.0,18.6,68.1
850.0,1490.0,22.2,21.6
850.0,1490.0,22.6,90.7
850.0,1490.0,20.8,85.6
850.0,1490.0,25.2,27.6
850.0,1490.0,14.2,51.0
850.0,1490.0,10.6,61.9
850.0,1490.0,9.8,46.2
850.0,1490.0,12.4,16.2
850.0,1494.0,15.0,41.4
850.0,1494.0,24.6,29.4
850.0,1494.0,12.4,81.4
850.0,1494.0,19.8,80.8
850.0,1494.0,18.8,48.8
850.0,1494.0,15.2,51.2
850.0,1494.0,23.6,29.1
850.0,1494.0,10.2,53.6
850.0,1494.0,23.4,27.1
850.0,1494.0,22.8,38.1
850.0,1494.0,26.2,19.6
850.0,1497.0,21.8,18.5
850.0,1497.0,20.4,26.3
850.0,1497.0,12.4,47.0
850.0,1497.0,14.2,54.6
850.0,1497.0,17.0,21.8
850.0,1497.0,19.4,20.8
850.0,1497.0,23.0,35.7
850.0,1497.0,14.0,35.6
850.0,1497.0,15.0,35.9
850.0,1497.0,14.8,24.7
850.0,1497.0,14.8,38.5
850.0,1497.0,15.0,31.0
850.0,1497.0,18.2,83.2
850.0,1497.0,19.0,78.1
850.0,1497.0,17.2,88.6
850.0,1497.0,13.4,67.0
850.0,1497.0,25.0,23.9
850.0,1497.0,11.0,50.1
850.0,1500.0,12.2,37.7
850.0,1500.0,18.2,31.9
850.0,1500.0,19.2,25.9
850.0,1500.0,13.0,22.4
850.0,1500.0,21.6,68.7
850.0,1500.0,19.2,78.1
850.0,1500.0,18.4,42.4
850.0,1500.0,14.0,58.5
850.0,1500.0,12.8,87.1
850.0,1500.0,19.6,83.3
850.0,1500.0,12.8,54.3
850.0,1500.0,16.6,39.0
850.0,1503.0,20.8,14.5
850.0,1503.0,13.6,38.1
850.0,1503.0,15.4,63.0
850.0,1503.0,18.6,25.8
850.0,1503.0,16.6,63.3
850.0,1503.0,21.2,26.5
850.0,1503.0,12.0,71.5
850.0,1503.0,14.2,24.5
850.0,1503.0,21.0,37.6
850.0,1503.0,14.8,77.0
850.0,1503.0,15.4,11.3
850.0,1503.0,12.0,62.2
850.0,1503.0,8.8,53.2
850.0,1503.0,24.6,36.1
850.0,1506.0,18.4,55.7
850.0,1506.0,12.8,24.1
850.0,1506.0,16.8,51.7
850.0,1506.0,13.2,62.5
850.0,1506.0,22.6,38.1
850.0,1506.0,19.4,16.6
850.0,1506.0,15.4,92.6
850.0,1509.0,20.0,40.0
850.0,1509.0,17.2,80.9
850.0,1509.0,15.0,21.2
850.0,1509.0,16.4,67.6
850.0,1509.0,15.8,80.7
850.0,1509.0,19.2,32.2
850.0,1509.0,16.0,63.2
850.0,1509.0,13.0,72.6
850.0,1509.0,12.6,37.8
850.0,1509.0,17.2,86.9
850.0,1509.0,19.8,26.1
850.0,1509.0,14.6,85.0
850.0,1512.0,13.4,35.4
850.0,1512.0,13.2,71.7
850.0,1512.0,14.2,86.6
850.0,1512.0,9.6,53.4
850.0,1512.0,22.2,26.8
850.0,1512.0,18.0,73.5
850.0,1512.0,12.4,62.3
850.0,1512.0,18.0,81.0
850.0,1512.0,17.6,74.4
850.0,1512.0,16.4,31.4
850.0,1512.0,17.4,31.7
850.0,1512.0,16.8,23.4
850.0,1512.0,11.8,23.8
850.0,1512.0,15.4,79.6
850.0,1512.0,11.2,71.3
850.0,1512.0,17.0,33.9
850.0,1512.0,17.2,85.2
850.0,1515.0,12.0,66.7
850.0,1515.0,17.2,27.3
850.0,1515.0,23.4,35.8
850.0,1515.0,10.4,75.2
850.0,1515.0,16.2,81.3
850.0,1515.0,14.0,24.5
850.0,1515.0,12.0,62.2
850.0,1515.0,17.0,29.3
850.0,1515.0,10.4,80.5
850.0,1518.0,11.0,34.7
850.0,1518.0,14.2,28.5
850.0,1518.0,19.6,39.9
850.0,1518.0,16.8,78.8
850.0,1518.0,13.8,58.5
850.0,1518.0,16.2,31.3
850.0,1521.0,17.2,81.5
850.0,1521.0,13.4,26.2
850.0,1521.0,11.0,83.4
850.0,1521.0,15.2,74.5
850.0,1521.0,28.2,24.8
850.0,1521.0,12.2,27.9
850.0,1521.0,15.2,35.9
850.0,1521.0,11.0,71.3
850.0,1521.0,17.0,67.8
850.0,1521.0,12.6,30.3
850.0,1524.0,15.0,41.4
850.0,1524.0,10.0,12.1
850.0,1524.0,18.6,25.8
850.0,1524.0,14.2,24.5
850.0,1527.0,9.8,73.0
850.0,1527.0,15.8,44.7
850.0,1527.0,11.6,54.0
850.0,1530.0,15.2,72.1
850.0,1530.0,16.0,55.1
850.0,1530.0,8.0,49.2
850.0,1530.0,15.6,85.6
850.0,1530.0,16.2,38.9
850.0,1530.0,20.0,56.1
850.0,1533.0,15.0,58.8
850.0,1533.0,21.4,75.1
850.0,1533.0,8.8,61.5
850.0,1533.0,10.0,86.8
850.0,1536.0,14.8,80.6
850.0,1536.0,16.6,72.3
850.0,1536.0,12.0,71.5
850.0,1539.0,14.8,54.8
850.0,1539.0,12.6,54.2
850.0,1539.0,12.0,62.2
850.0,1539.0,12.4,37.8
850.0,1542.0,11.6,62.1
850.0,1542.0,13.2,40.9
850.0,1545.0,13.2,67.0
850.0,1545.0,12.6,77.1
850.0,1548.0,12.0,62.2
850.0,1551.0,14.2,51.0
850.0,1561.0,12.8,50.6
700.0,3002.0,9.4,85.5
700.0,3018.0,6.6,45.3
700.0,3033.0,10.8,87.4
700.0,3033.0,7.4,83.6
700.0,3036.0,12.0,76.5
700.0,3039.0,8.8,86.1
700.0,3045.0,12.2,91.8
700.0,3048.0,14.8,62.9
700.0,3048.0,12.0,76.5
700.0,3051.0,12.4,96.1
700.0,3051.0,10.6,71.2
700.0,3051.0,12.0,81.9
700.0,3054.0,7.6,74.7
700.0,3054.0,13.0,80.4
700.0,3054.0,10.6,88.6
700.0,3054.0,10.2,81.1
700.0,3057.0,10.2,100.0
700.0,3057.0,9.0,85.5
700.0,3057.0,11.0,96.1
700.0,3063.0,9.6,76.1
700.0,3063.0,9.2,66.1
700.0,3066.0,10.2,87.4
700.0,3066.0,10.2,82.8
700.0,3066.0,10.0,77.2
700.0,3069.0,9.8,86.8
700.0,3069.0,12.0,75.5
700.0,3072.0,6.6,73.5
700.0,3072.0,10.4,79.4
700.0,3072.0,7.8,65.8
700.0,3072.0,6.2,41.9
700.0,3072.0,7.8,70.6
700.0,3072.0,11.0,62.0
700.0,3072.0,11.2,96.7
700.0,3075.0,9.8,57.5
700.0,3075.0,11.0,62.0
700.0,3075.0,10.6,78.9
700.0,3075.0,11.8,75.4
700.0,3075.0,3.6,93.2
700.0,3075.0,9.6,71.0
700.0,3078.0,10.8,73.7
700.0,3078.0,8.8,84.9
700.0,3078.0,10.2,61.8
700.0,3078.0,9.2,66.1
700.0,3078.0,11.2,94.2
700.0,3078.0,8.2,87.2
700.0,3078.0,11.6,92.3
700.0,3078.0,9.2,88.5
700.0,3082.0,11.0,88.7
700.0,3082.0,7.4,80.1
700.0,3082.0,10.0,97.4
700.0,3082.0,11.2,71.3
700.0,3082.0,8.4,84.3
700.0,3085.0,12.2,66.7
700.0,3085.0,8.6,94.7
700.0,3085.0,11.2,62.0
700.0,3085.0,11.4,85.8
700.0,3085.0,9.0,80.3
700.0,3085.0,9.6,76.6
700.0,3085.0,10.2,53.6
700.0,3088.0,11.0,66.5
700.0,3088.0,12.2,66.7
700.0,3088.0,12.4,90.6
700.0,3088.0,12.4,90.6
700.0,3091.0,10.2,77.3
700.0,3091.0,9.4,39.8
700.0,3091.0,12.0,62.2
700.0,3094.0,10.2,49.8
700.0,3094.0,8.8,83.1
700.0,3094.0,10.6,71.2
700.0,3097.0,10.2,71.1
700.0,3097.0,8.4,79.2
700.0,3097.0,11.4,79.1
700.0,3100.0,10.0,53.5
700.0,3100.0,13.6,82.6
700.0,3100.0,10.2,80.5
700.0,3100.0,8.2,61.3
700.0,3100.0,10.2,66.3
700.0,3103.0,7.2,20.8
700.0,3103.0,5.2,60.6
700.0,3103.0,10.0,78.3
700.0,3103.0,16.0,44.8
700.0,3103.0,10.0,61.7
700.0,3103.0,12.0,71.5
700.0,3106.0,9.6,73.0
700.0,3106.0,11.4,81.8
700.0,3106.0,12.0,23.9
700.0,3109.0,10.0,43.0
700.0,3109.0,9.8,27.2
700.0,3109.0,10.0,78.8
700.0,3112.0,8.8,34.0
700.0,3112.0,5.8,45.1
700.0,3112.0,1.2,40.3
700.0,3112.0,7.2,90.8
700.0,3112.0,7.0,92.7
700.0,3112.0,13.8,28.4
700.0,3112.0,11.0,37.4
700.0,3115.0,12.2,81.3
700.0,3115.0,5.4,71.2
700.0,3115.0,11.8,66.7
700.0,3115.0,8.8,19.6
700.0,3118.0,12.0,71.5
700.0,3118.0,9.0,72.9
700.0,3118.0,11.4,62.1
700.0,3118.0,11.8,66.7
700.0,3118.0,9.0,77.1
700.0,3118.0,8.0,19.4
700.0,3118.0,7.0,39.0
700.0,3118.0,12.6,76.1
700.0,3118.0,4.0,91.9
700.0,3121.0,8.2,61.3
700.0,3121.0,3.2,86.7
700.0,3121.0,8.0,53.0
700.0,3124.0,12.2,62.3
700.0,3124.0,10.2,57.6
700.0,3124.0,10.4,37.2
700.0,3124.0,8.0,42.4
700.0,3124.0,6.0,56.5
700.0,3124.0,10.0,37.1
700.0,3127.0,9.6,34.2
700.0,3127.0,8.0,16.4
700.0,3127.0,10.2,23.4
700.0,3127.0,4.0,19.9
700.0,3127.0,6.4,60.9
700.0,3127.0,4.2,32.6
700.0,3127.0,5.2,41.6
700.0,3127.0,12.6,58.2
700.0,3127.0,7.6,45.6
700.0,3127.0,9.4,25.1
700.0,3130.0,9.8,37.0
700.0,3130.0,10.2,71.1
700.0,3130.0,10.6,71.7
700.0,3130.0,10.8,14.5
700.0,3130.0,6.0,92.6
700.0,3130.0,9.4,79.3
700.0,3130.0,6.4,20.6
700.0,3130.0,7.0,45.4
700.0,3133.0,9.0,36.8
700.0,3133.0,6.0,70.3
700.0,3133.0,9.4,61.6
700.0,3133.0,7.6,61.2
700.0,3133.0,13.0,30.4
700.0,3133.0,5.8,70.2
700.0,3133.0,8.0,17.8
700.0,3136.0,11.0,71.3
700.0,3136.0,8.8,66.0
700.0,3136.0,8.4,49.3
700.0,3136.0,6.0,22.2
700.0,3136.0,8.6,31.4
700.0,3136.0,13.4,54.4
700.0,3136.0,8.2,13.9
700.0,3136.0,7.8,19.3
700.0,3136.0,12.0,62.2
700.0,3136.0,7.4,45.5
700.0,3136.0,11.2,40.3
700.0,3139.0,9.2,83.8
700.0,3139.0,8.2,24.7
700.0,3139.0,8.6,87.8
700.0,3139.0,11.0,71.3
700.0,3139.0,8.4,24.8
700.0,3139.0,9.6,14.2
700.0,3142.0,7.2,65.6
700.0,3142.0,9.8,53.5
700.0,3142.0,8.0,82.5
700.0,3142.0,10.2,91.6
700.0,3142.0,5.0,23.8
700.0,3146.0,12.2,71.5
700.0,3146.0,6.4,26.2
700.0,3146.0,5.4,52.3
700.0,3146.0,8.8,34.0
700.0,3146.0,11.8,43.5
700.0,3146.0,8.6,53.1
700.0,3146.0,12.4,40.6
700.0,3146.0,6.0,60.8
700.0,3146.0,8.4,61.4
700.0,3146.0,8.4,42.5
700.0,3146.0,6.0,70.3
700.0,3149.0,10.0,61.7
700.0,3149.0,8.0,45.7
700.0,3149.0,9.4,36.9
700.0,3149.0,8.8,57.2
700.0,3149.0,10.0,46.3
700.0,3149.0,6.4,52.5
700.0,3152.0,11.0,75.3
700.0,3152.0,10.8,40.2
700.0,3152.0,7.2,10.6
700.0,3152.0,10.6,37.2
700.0,3152.0,8.8,14.1
